"Refactoring Type","W1","W2","Total","% of Total"
"Change Variable Type","0","4","4","14.81"
"Add Parameter","3","0","3","11.11"
"Change Method Access Modifier","2","0","2","7.41"
"Extract Variable","2","0","2","7.41"
"Add Variable Modifier","0","2","2","7.41"
"Add Attribute Modifier","2","0","2","7.41"
"Move And Rename Method","2","0","2","7.41"
"Rename Attribute","2","0","2","7.41"
"Parameterize Variable","1","0","1","3.7"
"Add Thrown Exception Type","1","0","1","3.7"
"Remove Variable Modifier","1","0","1","3.7"
"Rename Method","1","0","1","3.7"
"Extract Class","1","0","1","3.7"
"Rename Variable","1","0","1","3.7"
"Extract Method","1","0","1","3.7"
"Rename Parameter","1","0","1","3.7"
"Inline Attribute","0","0","0","0"
"Replace Pipeline With Loop","0","0","0","0"
"Parameterize Attribute","0","0","0","0"
"Change Attribute Type","0","0","0","0"
"Try With Resources","0","0","0","0"
"Merge Conditional","0","0","0","0"
"Change Parameter Type","0","0","0","0"
"Inline Variable","0","0","0","0"
"Merge Catch","0","0","0","0"
"Split Package","0","0","0","0"
"Localize Parameter","0","0","0","0"
"Move And Rename Attribute","0","0","0","0"
"Change Attribute Access Modifier","0","0","0","0"
"Change Class Access Modifier","0","0","0","0"
"Move Attribute","0","0","0","0"
"Encapsulate Attribute","0","0","0","0"
"Move Source Folder","0","0","0","0"
"Move Method","0","0","0","0"
"Replace Loop With Pipeline","0","0","0","0"
"Extract Superclass","0","0","0","0"
"Merge Variable","0","0","0","0"
"Move And Rename Class","0","0","0","0"
"Merge Package","0","0","0","0"
"Move Package","0","0","0","0"
"Split Parameter","0","0","0","0"
"Replace Variable With Attribute","0","0","0","0"
"Extract Fixture","0","0","0","0"
"Replace Conditional With Ternary","0","0","0","0"
"Remove Thrown Exception Type","0","0","0","0"
"Add Class Annotation","0","0","0","0"
"Replace Anonymous With Lambda","0","0","0","0"
"Reorder Parameter","0","0","0","0"
"Add Attribute Annotation","0","0","0","0"
"Merge Class","0","0","0","0"
"Modify Attribute Annotation","0","0","0","0"
"Modify Method Annotation","0","0","0","0"
"Split Conditional","0","0","0","0"
"Replace Attribute","0","0","0","0"
"Push Down Method","0","0","0","0"
"Move Code","0","0","0","0"
"Modify Variable Annotation","0","0","0","0"
"Pull Up Method","0","0","0","0"
"Extract And Move Method","0","0","0","0"
"Split Method","0","0","0","0"
"Pull Up Attribute","0","0","0","0"
"Remove Attribute Modifier","0","0","0","0"
"Add Method Modifier","0","0","0","0"
"Split Class","0","0","0","0"
"Replace Attribute With Variable","0","0","0","0"
"Extract Subclass","0","0","0","0"
"Extract Package","0","0","0","0"
"Remove Parameter","0","0","0","0"
"Add Method Annotation","0","0","0","0"
"Inline Method","0","0","0","0"
"Change Type Declaration Kind","0","0","0","0"
"Split Attribute","0","0","0","0"
"Collapse Hierarchy","0","0","0","0"
"Modify Parameter Annotation","0","0","0","0"
"Invert Condition","0","0","0","0"
"Add Variable Annotation","0","0","0","0"
"Split Variable","0","0","0","0"
"Remove Attribute Annotation","0","0","0","0"
"Modify Class Annotation","0","0","0","0"
"Change Thrown Exception Type","0","0","0","0"
"Remove Class Annotation","0","0","0","0"
"Merge Parameter","0","0","0","0"
"Rename Class","0","0","0","0"
"Add Parameter Annotation","0","0","0","0"
"Move And Inline Method","0","0","0","0"
"Replace Generic With Diamond","0","0","0","0"
"Remove Parameter Annotation","0","0","0","0"
"Extract Attribute","0","0","0","0"
"Split Try","0","0","0","0"
"Remove Method Annotation","0","0","0","0"
"Replace Anonymous With Class","0","0","0","0"
"Remove Parameter Modifier","0","0","0","0"
"Add Class Modifier","0","0","0","0"
"Add Parameter Modifier","0","0","0","0"
"Replace Lambda With Anonymous","0","0","0","0"
"Remove Method Modifier","0","0","0","0"
"Remove Class Modifier","0","0","0","0"
"Assert Throws","0","0","0","0"
"Extract Interface","0","0","0","0"
"Remove Variable Annotation","0","0","0","0"
"Merge Method","0","0","0","0"
"Push Down Attribute","0","0","0","0"
"Move Class","0","0","0","0"
"Rename Package","0","0","0","0"
"Merge Attribute","0","0","0","0"
"Change Return Type","0","0","0","0"
